Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,19.000000,19.100000,17.150000,17.250000,17.250000,10022500
2021-01-05,17.350000,18.080000,17.230000,17.370001,17.370001,4961500
2021-01-06,17.340000,18.980000,17.330000,18.360001,18.360001,6056200
2021-01-07,18.469999,19.450001,18.020000,18.080000,18.080000,6129300
2021-01-08,18.180000,18.299999,17.080000,17.690001,17.690001,6482000
2021-01-11,19.410000,20.650000,19.010000,19.940001,19.940001,14908000
2021-01-12,19.959999,20.400000,19.320000,19.950001,19.950001,7060700
2021-01-13,20.420000,38.650002,20.030001,31.400000,31.400000,144501700
2021-01-14,38.090000,43.060001,33.049999,39.910000,39.910000,93717400
2021-01-15,38.490002,40.750000,34.009998,35.500000,35.500000,46866400
2021-01-19,41.549999,45.520000,36.639999,39.360001,39.360001,74721900
2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
2021-01-21,39.230000,44.750000,37.000000,43.029999,43.029999,56216900
2021-01-22,42.590000,76.760002,42.320000,65.010002,65.010002,197157900
2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
2021-01-26,88.559998,150.000000,80.199997,147.979996,147.979996,178588000
2021-01-27,354.829987,380.000000,249.000000,347.510010,347.510010,93396700
2021-01-28,265.000000,483.000000,112.250000,193.600006,193.600006,58815800
2021-01-29,379.709991,413.980011,250.000000,325.000000,325.000000,50566100
2021-02-01,316.559998,322.000000,212.000000,225.000000,225.000000,37382200
2021-02-02,140.759995,158.000000,74.220001,90.000000,90.000000,78183100
2021-02-03,112.010002,113.400002,85.250000,92.410004,92.410004,42698500
2021-02-04,91.190002,91.500000,53.330002,53.500000,53.500000,62427300
2021-02-05,54.040001,95.000000,51.090000,63.770000,63.770000,81345000
2021-02-08,72.410004,72.660004,58.020000,60.000000,60.000000,25687300
2021-02-09,56.610001,57.000000,46.520000,50.310001,50.310001,26843100
2021-02-10,50.770000,62.830002,46.549999,51.200001,51.200001,36455000
2021-02-11,50.009998,55.320000,48.220001,51.099998,51.099998,13056700
2021-02-12,50.750000,55.240002,48.049999,52.400002,52.400002,14573300
2021-02-16,52.660000,53.500000,49.040001,49.509998,49.509998,8175000
2021-02-17,49.770000,51.189999,44.560001,45.939999,45.939999,9186800
2021-02-18,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2021-02-19,41.279999,43.889999,38.500000,40.590000,40.590000,14828200
2021-02-22,46.689999,48.509998,42.400002,46.000000,46.000000,19476000
2021-02-23,44.970001,46.230000,40.000000,44.970001,44.970001,7565200
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2021-02-25,169.559998,184.679993,101.000000,108.730003,108.730003,150308800
2021-02-26,117.459999,142.899994,86.000000,101.739998,101.739998,91963000
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
2021-03-02,116.930000,133.199997,112.199997,118.180000,118.180000,33640400
2021-03-03,122.510002,127.750000,113.120003,124.180000,124.180000,19173700
2021-03-04,125.000000,147.869995,115.300003,132.350006,132.350006,32473600
2021-03-05,128.169998,151.529999,127.500000,137.740005,137.740005,30660200
2021-03-08,154.889999,210.869995,146.100006,194.500000,194.500000,63424800
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
2021-03-10,269.429993,348.500000,172.000000,265.000000,265.000000,71361900
2021-03-11,241.639999,281.500000,232.600006,260.000000,260.000000,28186000
2021-03-12,275.000000,295.500000,262.269989,264.500000,264.500000,25760700
2021-03-15,277.519989,283.000000,206.000000,220.139999,220.139999,24100400
2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
2021-03-17,217.839996,231.470001,204.000000,209.809998,209.809998,16259300
2021-03-18,214.000000,218.880005,195.649994,201.750000,201.750000,11764900
2021-03-19,195.729996,227.000000,182.660004,200.270004,200.270004,24552100
2021-03-22,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
2021-03-23,197.500000,201.750000,177.550003,181.750000,181.750000,14429100
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
2021-03-25,123.489998,187.500000,116.900002,183.750000,183.750000,50962300
2021-03-26,197.679993,218.929993,163.259995,181.000000,181.000000,37371900
2021-03-29,180.750000,193.919998,173.509995,181.300003,181.300003,10042200
2021-03-30,187.500000,204.300003,182.000000,194.460007,194.460007,17094900
2021-03-31,197.500000,199.460007,187.110001,189.820007,189.820007,8393800
2021-04-01,193.360001,196.970001,183.600006,191.449997,191.449997,9334300
2021-04-05,171.000000,195.000000,164.809998,186.949997,186.949997,14070500
2021-04-06,185.210007,192.000000,183.559998,184.500000,184.500000,6218300
2021-04-07,183.220001,184.500000,176.110001,177.970001,177.970001,4768300
2021-04-08,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
2021-04-09,169.699997,171.580002,153.000000,158.360001,158.360001,9442000
2021-04-12,158.110001,163.899994,135.009995,141.089996,141.089996,16683600
2021-04-13,141.880005,145.380005,132.000000,140.990005,140.990005,6806900
2021-04-14,143.570007,174.089996,143.000000,166.529999,166.529999,21138100
2021-04-15,163.000000,166.250000,152.800003,156.440002,156.440002,7856800
2021-04-16,156.000000,160.199997,151.250000,154.690002,154.690002,5139700
2021-04-19,171.800003,175.199997,162.330002,164.369995,164.369995,10520200
2021-04-20,164.139999,164.889999,153.360001,158.529999,158.529999,4658600
2021-04-21,158.399994,162.979996,155.919998,158.509995,158.509995,3812800
2021-04-22,159.100006,159.100006,146.860001,151.169998,151.169998,4345800
2021-04-23,149.000000,153.660004,144.699997,151.179993,151.179993,4029100
2021-04-26,150.979996,174.679993,148.759995,168.929993,168.929993,10532100
2021-04-27,183.550003,188.000000,173.169998,177.770004,177.770004,8932700
2021-04-28,172.100006,181.979996,166.029999,178.580002,178.580002,5788900
2021-04-29,176.559998,180.860001,170.750000,176.190002,176.190002,3760300
